random_moves,sa_moves,runtime
Not solved,Not solved,N/A
63605,63603,15.441818714141846
14759,14757,12.714711904525757
4394,4394,12.102030038833618
56002,56000,14.645080089569092
40145,40145,13.933152914047241
20937,20937,12.96213674545288
61772,61772,14.62191915512085
18067,18067,13.348805665969849
10735,10735,12.827229976654053
15655,15655,12.825095176696777
44740,44738,13.753382205963135
17327,17325,12.71679401397705
22445,22445,13.096188306808472
24702,24700,13.179435014724731
23950,23950,13.28636121749878
56240,56238,14.52022910118103
67058,67058,14.899429082870483
20469,18423,13.310190200805664
54877,54875,14.37942886352539
9608,9608,12.654392957687378
11275,10470,12.458065032958984
40912,40910,13.749053955078125
68172,68172,16.757456064224243
45533,45533,14.39647388458252
23477,23477,15.491251945495605
26171,26169,13.736138105392456
12017,12017,13.13558292388916
12432,11396,13.671134948730469
79241,79241,16.148564338684082
10941,10939,14.35880994796753
24216,24214,16.302084922790527
46765,46763,17.607418060302734
16068,16066,16.710771083831787
54960,54958,22.464804887771606
16801,16801,15.713290929794312
13164,13164,14.558449268341064
41659,36452,15.224374055862427
25169,25167,14.350726842880249
30439,30437,14.562178134918213
6284,6282,13.299321174621582
15785,15785,14.622140884399414
16070,16068,14.194923162460327
35025,35023,14.863523244857788
22827,22827,14.072674989700317
9633,9633,13.884692192077637
30592,28553,14.314557790756226
15928,15926,14.91575002670288
26353,26351,16.33403205871582
45897,42838,18.943172931671143
4921,4919,16.767306089401245
11490,11488,18.277719736099243
2375,2373,19.492791175842285
16185,16185,20.89145588874817
28548,26352,20.714164972305298
Not solved,Not solved,N/A
92492,92492,23.288666009902954
91720,85606,23.571974992752075
10263,10261,20.51772403717041
6319,6317,20.27851104736328
34411,34409,20.16737198829651
9923,9921,17.840428113937378
16228,16228,19.65257501602173
23245,23243,21.425295114517212
58657,58655,29.087570905685425
26603,26601,24.869342803955078
Not solved,Not solved,N/A
9046,9046,24.1072518825531
16826,16824,24.64254903793335
28003,28001,25.17397665977478
Not solved,Not solved,N/A
48123,48121,23.184285879135132
19397,19397,20.709810972213745
Not solved,Not solved,N/A
42670,42668,22.635738849639893
46804,46802,22.63060212135315
12929,12927,18.072428226470947
8641,8639,16.582140922546387
71651,71649,19.980751991271973
4340,4340,15.923521995544434
35247,35245,17.788235664367676
42727,42727,19.225721836090088
46109,43036,19.565787076950073
22219,20510,17.839876174926758
30235,30235,17.85677218437195
80016,80014,19.984117031097412
9198,8541,16.48659610748291
26342,24586,16.994086980819702
55844,51856,18.408284902572632
93582,80214,21.278208017349243
10121,10121,15.632272720336914
Not solved,Not solved,N/A
8317,8315,16.03989887237549
16202,16200,15.819881916046143
47453,47453,17.454362154006958
34945,34945,17.117462158203125
59205,59205,18.047502040863037
51927,51927,18.554513216018677
11076,11074,16.428405046463013
Not solved,Not solved,N/A
