random_moves,sa_moves,runtime
20594,18878,17.61572790145874
7296,7294,17.608662128448486
517,515,16.83041000366211
4857,4453,17.610296964645386
44572,41601,19.239388942718506
3845,3843,17.29553723335266
1253,1251,17.03128170967102
6440,6438,17.772116899490356
1395,1302,17.38819193840027
5025,4667,17.619964838027954
34298,31660,19.188354015350342
40474,40472,19.711588859558105
2236,2013,17.79840087890625
10049,10047,17.584789991378784
5492,5492,17.618712663650513
5171,4741,17.548973083496094
20889,20887,18.952527284622192
3971,3969,17.87636089324951
45134,45132,19.59123396873474
4616,4614,17.79206895828247
56625,52850,20.091599941253662
11960,11958,18.590868949890137
518,516,17.776365995407104
717,670,17.440611839294434
14940,14940,18.165151119232178
8853,8851,17.915475845336914
41453,41451,21.01690411567688
12832,12832,26.94404697418213
26546,22754,25.79069995880127
2265,2114,20.160732746124268
51428,51426,27.868465900421143
5562,4944,18.547959089279175
46598,46598,20.27649998664856
22871,22869,18.686025142669678
5607,4907,17.807188034057617
8443,8441,18.278960943222046
8359,7716,17.848893880844116
23939,23939,18.63328790664673
10428,10428,18.633183002471924
3130,3130,17.606085062026978
7244,7244,17.716007947921753
13388,13388,18.61572027206421
19661,19661,18.295408248901367
13908,13908,18.657646894454956
6065,5199,18.2918701171875
15370,15370,18.549472093582153
14069,14067,18.05425715446472
14285,14283,18.7313551902771
78471,67261,21.072563886642456
6030,6030,18.124273777008057
5688,5282,17.952507257461548
21199,21199,18.580873012542725
5267,4862,18.310758113861084
8364,8362,17.981186866760254
39622,39620,19.01841902732849
3867,3867,17.718299865722656
4081,4079,17.75362777709961
9376,9376,17.794534921646118
6648,6646,17.909101009368896
13935,13933,18.24802875518799
20362,20360,22.48529291152954
10840,10840,19.50654125213623
8575,8573,19.321980953216553
5006,5004,18.846046209335327
4402,4402,18.684029817581177
5317,5315,18.83392596244812
1178,1088,17.727396726608276
1932,1930,18.059151887893677
41274,41274,19.382813930511475
3094,3094,18.05899691581726
8511,8511,17.930744886398315
35343,35343,19.495941162109375
4993,4993,18.06633973121643
20473,20471,18.517598390579224
31533,31531,19.704166889190674
3452,3452,19.867547750473022
21495,21495,22.88198971748352
5348,4966,22.45523190498352
4896,4894,113.02142786979675
10431,10431,17.325953006744385
1307,1220,16.909384965896606
9791,9789,17.678479194641113
53510,53510,19.189201831817627
27621,27619,19.046897888183594
40801,40799,18.985233068466187
4463,4145,17.683132886886597
2129,2129,17.76873016357422
6027,6027,18.12734580039978
15959,14820,18.33111000061035
10886,10886,17.595399141311646
14119,14117,18.730512142181396
470,470,17.55576801300049
12171,12169,18.553593158721924
41276,41274,19.09716296195984
821,821,17.82064175605774
16661,16661,19.064252138137817
20265,20265,18.223932027816772
7967,7965,18.153565883636475
3834,3832,18.019970178604126
665,665,17.798505783081055
