random_moves,sa_moves,runtime
1193,1094,16.710822105407715
1301,1299,17.884156227111816
1712,1522,16.821566104888916
2362,2100,17.04704999923706
3436,3007,17.291653871536255
2293,2293,16.869723081588745
2559,2559,17.47492790222168
2994,2994,17.425615787506104
7872,7870,16.920936107635498
2614,2377,16.861785888671875
419,419,17.012911796569824
7343,7343,17.27554702758789
3727,3725,17.011571168899536
821,763,16.729022979736328
8146,8144,17.599549055099487
1460,1460,17.005805730819702
5648,4942,16.892275094985962
1841,1841,16.939567804336548
4924,4596,18.951064825057983
1904,1902,19.539198875427246
1672,1670,17.518703937530518
3042,2704,18.07671618461609
2833,2616,18.103121042251587
5007,5005,18.726564168930054
4999,4997,20.77119016647339
3687,3352,21.51237726211548
815,815,22.621500968933105
1080,945,24.760512828826904
813,759,19.336122751235962
1623,1621,18.498492002487183
7578,6736,18.9580020904541
2265,2263,18.156563997268677
763,763,19.400497913360596
3836,3834,18.656636714935303
1746,1744,18.384572982788086
2976,2646,18.782843112945557
3869,3867,18.53215503692627
1475,1473,20.41767191886902
7000,6534,23.03775906562805
562,516,23.813010931015015
2800,2489,25.743921279907227
2677,2675,27.688910961151123
5507,5084,26.038750171661377
256,254,24.28083086013794
5262,4858,26.25625705718994
1181,1181,28.03077507019043
3213,3211,25.436137914657593
7609,6918,23.539480209350586
617,617,28.470242023468018
1255,1099,32.65494084358215
970,970,31.865684986114502
1278,1278,32.83074402809143
3276,2949,33.3102011680603
655,653,27.800063133239746
3216,3002,27.71270513534546
3570,3568,27.63650894165039
2749,2747,26.29735827445984
1801,1663,22.802337884902954
1411,1409,22.46599006652832
2275,2113,21.72783589363098
2031,1847,23.405846118927002
839,837,23.627922773361206
1145,1143,23.315683126449585
404,402,21.920552015304565
2254,2029,22.493111610412598
248,248,21.777480840682983
2039,2039,22.044207096099854
1507,1392,21.81535816192627
3379,3138,21.666239023208618
4375,4039,21.105331897735596
1243,1241,20.933890104293823
1857,1855,21.397711992263794
2201,2001,21.29397988319397
958,956,22.379455089569092
3554,3258,19.467766046524048
3590,3588,18.71300506591797
2244,2242,19.27158784866333
787,731,20.457679986953735
10811,9460,19.305904865264893
320,318,16.48611617088318
4678,4676,16.105225086212158
3862,3862,16.343212127685547
2244,2242,18.16103482246399
1702,1700,19.060600996017456
1625,1393,18.772334098815918
2167,2165,21.3892822265625
5346,4990,25.306591987609863
4710,4708,25.39694905281067
899,897,26.016930103302002
1024,1022,27.572898864746094
6328,5753,28.9940128326416
1735,1620,29.211286067962646
538,536,29.464878797531128
1636,1636,29.4966299533844
280,280,33.21497964859009
2314,2312,30.254458904266357
5267,5265,29.57705307006836
729,727,29.081613779067993
1280,1189,29.563318967819214
1178,1071,31.317816019058228
