random_moves,sa_moves,runtime
34759,34757,46.825275182724
24569,24569,48.71874189376831
12443,12443,52.37375092506409
42651,42649,57.6685791015625
12778,12778,57.91448783874512
64986,64986,61.86961913108826
54907,54905,58.8861780166626
51681,51679,58.74446892738342
8415,8413,47.871493101119995
2346,2346,44.031614780426025
39896,39894,51.40735483169556
15088,15088,53.740524768829346
14809,14807,58.3563289642334
33506,33506,52.340487003326416
25551,25549,51.22308874130249
59633,59633,54.428704023361206
38847,38847,51.58402395248413
17089,17087,50.244274854660034
55717,55715,51.26099514961243
77161,77159,53.05247116088867
81121,81119,55.74253582954407
17950,17948,47.365570068359375
18999,18997,46.518494844436646
13682,13680,45.12851905822754
43472,43470,50.22464370727539
70993,70993,52.26313495635986
21720,21718,46.911834955215454
97948,97946,54.27671504020691
58937,58937,54.20224571228027
37025,37023,50.08265399932861
15662,15660,48.286197900772095
30160,30158,50.168116331100464
16251,16251,49.68848276138306
81748,74936,53.701961040496826
57602,57602,51.422003984451294
8621,8621,46.37882113456726
31481,31481,48.65646839141846
57127,57125,51.57979702949524
36068,36066,49.32158303260803
15439,15437,47.267975091934204
31431,31429,49.33589196205139
29473,29471,47.530263900756836
36414,36414,49.49029588699341
24125,24123,49.90174102783203
24740,24738,50.72368001937866
21009,21009,48.136075019836426
45013,45013,56.55774903297424
16825,16823,53.583820819854736
53198,53196,51.80233383178711
20274,20272,45.89448595046997
29607,29605,43.087281227111816
22669,22667,41.705649852752686
27977,27977,42.733453035354614
46043,46043,45.35945200920105
20543,20541,43.018978118896484
49875,49873,48.10310888290405
54601,50401,48.430262088775635
30172,30172,44.73064589500427
74175,74173,46.399882555007935
53726,48842,44.356683015823364
43373,40275,44.482369899749756
6006,6006,43.65761208534241
19825,19825,43.8575758934021
21135,21135,46.12561297416687
58333,52500,44.273147106170654
40386,40384,42.4290566444397
74393,74391,46.307920932769775
85719,85717,46.455543756484985
37614,37612,41.7046959400177
32797,32795,40.87605881690979
34690,34688,41.67823910713196
23921,23919,42.55194091796875
45492,45490,43.76605796813965
27441,27439,41.24872899055481
19288,19286,39.380396127700806
12700,12698,38.65502309799194
28682,28680,40.360909938812256
32981,32979,40.43279790878296
13409,13407,39.45166611671448
22591,22591,41.586050033569336
2716,2714,39.66509008407593
61366,61364,42.822290897369385
12988,12986,39.74990797042847
17223,17221,39.77560806274414
16577,16577,39.17027807235718
13382,13380,39.197827100753784
31085,31085,42.20038199424744
25949,25949,41.20785593986511
70188,70188,45.70855498313904
76403,76403,44.518698930740356
28277,28275,40.07549691200256
61646,61644,43.083093881607056
93203,93201,45.480913162231445
97199,97197,45.49361515045166
35660,35658,41.55364513397217
31992,31992,42.276713848114014
38195,38193,42.0080828666687
72940,72940,43.587960958480835
27098,27096,39.84002995491028
43971,43969,40.56615209579468
