random_moves,sa_moves,runtime,board,improvement
2362.0,2100.0,17.04704999923706,Board 2,262.0
3436.0,3007.0,17.291653871536255,Board 2,429.0
2293.0,2293.0,16.869723081588745,Board 2,0.0
2559.0,2559.0,17.47492790222168,Board 2,0.0
2994.0,2994.0,17.425615787506104,Board 2,0.0
7872.0,7870.0,16.920936107635498,Board 2,2.0
2614.0,2377.0,16.861785888671875,Board 2,237.0
419.0,419.0,17.012911796569824,Board 2,0.0
7343.0,7343.0,17.27554702758789,Board 2,0.0
3727.0,3725.0,17.011571168899536,Board 2,2.0
821.0,763.0,16.729022979736328,Board 2,58.0
8146.0,8144.0,17.599549055099487,Board 2,2.0
1460.0,1460.0,17.005805730819702,Board 2,0.0
5648.0,4942.0,16.892275094985962,Board 2,706.0
1841.0,1841.0,16.939567804336548,Board 2,0.0
4924.0,4596.0,18.951064825057983,Board 2,328.0
1904.0,1902.0,19.53919887542725,Board 2,2.0
1672.0,1670.0,17.518703937530518,Board 2,2.0
3042.0,2704.0,18.07671618461609,Board 2,338.0
2833.0,2616.0,18.103121042251587,Board 2,217.0
5007.0,5005.0,18.726564168930057,Board 2,2.0
4999.0,4997.0,20.77119016647339,Board 2,2.0
3687.0,3352.0,21.51237726211548,Board 2,335.0
815.0,815.0,22.621500968933105,Board 2,0.0
1080.0,945.0,24.760512828826904,Board 2,135.0
813.0,759.0,19.33612275123596,Board 2,54.0
1623.0,1621.0,18.498492002487183,Board 2,2.0
7578.0,6736.0,18.9580020904541,Board 2,842.0
2265.0,2263.0,18.156563997268677,Board 2,2.0
763.0,763.0,19.400497913360596,Board 2,0.0
3836.0,3834.0,18.656636714935303,Board 2,2.0
1746.0,1744.0,18.38457298278809,Board 2,2.0
2976.0,2646.0,18.782843112945557,Board 2,330.0
3869.0,3867.0,18.53215503692627,Board 2,2.0
1475.0,1473.0,20.41767191886902,Board 2,2.0
7000.0,6534.0,23.03775906562805,Board 2,466.0
562.0,516.0,23.813010931015015,Board 2,46.0
2800.0,2489.0,25.743921279907227,Board 2,311.0
2677.0,2675.0,27.688910961151123,Board 2,2.0
5507.0,5084.0,26.038750171661377,Board 2,423.0
256.0,254.0,24.28083086013794,Board 2,2.0
5262.0,4858.0,26.25625705718994,Board 2,404.0
1181.0,1181.0,28.03077507019043,Board 2,0.0
3213.0,3211.0,25.436137914657593,Board 2,2.0
7609.0,6918.0,23.539480209350582,Board 2,691.0
617.0,617.0,28.470242023468018,Board 2,0.0
1255.0,1099.0,32.65494084358215,Board 2,156.0
970.0,970.0,31.865684986114506,Board 2,0.0
1278.0,1278.0,32.83074402809143,Board 2,0.0
3276.0,2949.0,33.3102011680603,Board 2,327.0
655.0,653.0,27.800063133239743,Board 2,2.0
3216.0,3002.0,27.71270513534546,Board 2,214.0
3570.0,3568.0,27.63650894165039,Board 2,2.0
2749.0,2747.0,26.29735827445984,Board 2,2.0
1801.0,1663.0,22.80233788490295,Board 2,138.0
1411.0,1409.0,22.46599006652832,Board 2,2.0
2275.0,2113.0,21.72783589363098,Board 2,162.0
2031.0,1847.0,23.405846118927,Board 2,184.0
839.0,837.0,23.62792277336121,Board 2,2.0
1145.0,1143.0,23.315683126449585,Board 2,2.0
