moves,runtime
85,1.61775803565979
97,3.451889991760254
152,2.455820083618164
75,7.204612731933594
129,1.6019368171691895
159,4.30110502243042
167,15.109313011169434
139,15.681743144989014
92,3.308694839477539
79,3.5891692638397217
152,2.084033727645874
141,7.188640117645264
65,3.9991180896759033
74,11.789281845092773
60,1.0204579830169678
140,1.4725067615509033
86,4.400604009628296
134,27.15089201927185
82,0.4184529781341553
120,0.7790629863739014
132,1.506317138671875
80,9.540575981140137
74,0.10140395164489746
117,1.8915290832519531
91,0.2693600654602051
49,0.16323399543762207
81,3.6666948795318604
81,6.830188035964966
151,27.27754497528076
124,2.2943999767303467
64,0.1937849521636963
85,3.185915231704712
159,3.780555009841919
125,9.79767107963562
101,18.710278034210205
38,26.353018045425415
109,1.7253100872039795
108,6.44762396812439
144,20.460180044174194
89,1.8540618419647217
113,5.442965030670166
31,1.4245381355285645
90,4.265985012054443
82,14.056031942367554
90,0.6972129344940186
68,3.20345401763916
128,2.3558359146118164
73,3.0568809509277344
63,0.2446300983428955
150,2.8319718837738037
76,0.8872530460357666
88,1.7340080738067627
77,4.0413031578063965
67,1.1689739227294922
222,4.21411395072937
109,27.63207197189331
197,2.5032079219818115
99,1.6834042072296143
138,0.9893989562988281
150,4.192671060562134
89,2.509507179260254
76,0.09858012199401855
57,0.3024561405181885
114,2.706728935241699
115,4.234671115875244
61,27.981302738189697
33,1.6595969200134277
80,0.26392197608947754
75,1.4718570709228516
96,0.8879299163818359
35,11.261077880859375
54,0.0851590633392334
53,5.005743026733398
102,0.3931612968444824
132,0.6924488544464111
81,0.9011430740356445
116,1.8823449611663818
89,26.72691583633423
100,4.326694011688232
106,2.977999210357666
85,0.17115497589111328
77,0.053520917892456055
91,0.09751510620117188
91,4.2934730052948
145,1.9495251178741455
90,3.5154030323028564
71,0.5947589874267578
52,2.0645527839660645
47,0.1397397518157959
97,7.583328008651733
49,1.501939058303833
79,0.20786094665527344
86,21.242201805114746
86,14.814329147338867
111,1.7649149894714355
116,3.95788311958313
202,0.9474098682403564
93,6.845652103424072
107,3.014539957046509
102,1.938417911529541
