random_moves,hillclimber_moves,improvement,board,size
21011,20846,165,Board 3,6x6
26483,26304,179,Board 3,6x6
7730,7561,169,Board 3,6x6
55569,55412,157,Board 3,6x6
51773,51600,173,Board 3,6x6
37150,36988,162,Board 3,6x6
15216,15050,166,Board 3,6x6
7645,7484,161,Board 3,6x6
18398,18252,146,Board 3,6x6
6497,6335,162,Board 3,6x6
2436,2257,179,Board 2,6x6
1363,1202,161,Board 2,6x6
1990,1816,174,Board 2,6x6
1270,1111,159,Board 2,6x6
4543,4369,174,Board 2,6x6
875,718,157,Board 2,6x6
1112,943,169,Board 2,6x6
2082,1900,182,Board 2,6x6
1205,1038,167,Board 2,6x6
6693,6539,154,Board 2,6x6
5283,5136,147,Board 2,6x6
1244,1079,165,Board 2,6x6
1218,1051,167,Board 2,6x6
4136,3957,179,Board 2,6x6
338,181,157,Board 2,6x6
2850,2700,150,Board 2,6x6
903,720,183,Board 2,6x6
3453,3295,158,Board 2,6x6
1870,1692,178,Board 2,6x6
12615,12451,164,Board 2,6x6
3112,2943,169,Board 2,6x6
5481,5330,151,Board 2,6x6
2805,2643,162,Board 2,6x6
8802,8640,162,Board 2,6x6
1036,857,179,Board 2,6x6
730,547,183,Board 2,6x6
3893,3739,154,Board 2,6x6
6043,5880,163,Board 2,6x6
897,714,183,Board 2,6x6
927,787,140,Board 2,6x6
1125,959,166,Board 2,6x6
363,187,176,Board 2,6x6
2760,2594,166,Board 2,6x6
336,193,143,Board 2,6x6
2292,2139,153,Board 2,6x6
1119,956,163,Board 2,6x6
449,271,178,Board 2,6x6
556,403,153,Board 2,6x6
2073,1897,176,Board 2,6x6
3236,3072,164,Board 2,6x6
5357,5191,166,Board 2,6x6
4398,4230,168,Board 2,6x6
1291,1138,153,Board 2,6x6
1732,1568,164,Board 2,6x6
2869,2708,161,Board 2,6x6
1532,1364,168,Board 2,6x6
548,396,152,Board 2,6x6
1475,1317,158,Board 2,6x6
731,557,174,Board 2,6x6
715,547,168,Board 2,6x6
1655,1482,173,Board 2,6x6
2558,2384,174,Board 2,6x6
4717,4545,172,Board 2,6x6
