moves
14909
35415
23235
13321
12442
3203
4257
4135
1251
9712
4027
7654
1615
10198
78464
17760
11216
5258
420
2042
4431
1125
13999
3148
15838
2251
6348
28536
6819
68566
5714
16437
7447
23109
6459
2057
2438
1065
7586
1153
6425
8345
11412
16008
5442
13555
4656
5059
7261
5109
2100
37548
42167
1648
7091
1566
13026
44619
21207
12279
6465
22579
23939
1551
15494
6299
14851
9053
24130
4133
11822
11260
23616
2332
6913
5967
5157
505
11341
5562
10728
31980
3805
4725
14381
14804
1924
7222
18406
9323
605
10408
15241
3932
1153
14147
35435
8043
13125
646
