random_moves,optimized_hillclimber_moves,runtime
6990,5650,0.4064338207244873
2454,1804,0.19287705421447754
8713,7323,0.4364333152770996
5778,4446,0.3461496829986572
955,955,0.038062095642089844
1794,1206,0.13836193084716797
1444,1050,0.12327766418457031
2807,2807,0.10009288787841797
861,571,0.0719149112701416
3904,2664,0.2539510726928711
551,413,0.05307316780090332
5108,5108,0.17609906196594238
3816,3816,0.17830896377563477
262,164,0.028908967971801758
1092,1092,0.047406911849975586
4942,3576,0.32607197761535645
1367,873,0.10580778121948242
3061,2089,0.21321606636047363
6126,4760,0.3488497734069824
2358,1660,0.17505788803100586
3208,2220,0.23113703727722168
5024,3694,0.3069920539855957
1307,919,0.10953402519226074
2052,1438,0.1551361083984375
2639,1875,0.19788098335266113
2063,1451,0.16562509536743164
3006,2136,0.22113418579101562
401,283,0.03978705406188965
4165,2821,0.27941203117370605
4534,3202,0.30408501625061035
1404,978,0.12943005561828613
2195,2195,0.0886697769165039
4795,3461,0.35631799697875977
641,467,0.07165694236755371
447,447,0.02824997901916504
3262,2270,0.2591238021850586
4498,3182,0.3284339904785156
3553,2509,0.30044102668762207
3868,2660,0.3500971794128418
1335,913,0.13216519355773926
749,533,0.08660197257995605
2530,1770,0.2338242530822754
539,379,0.0599370002746582
322,238,0.04076719284057617
5690,4396,0.4039900302886963
1496,1496,0.06978988647460938
1719,1719,0.07852482795715332
2004,1396,0.1891319751739502
1569,1087,0.15146493911743164
927,607,0.09408926963806152
1530,1040,0.14912199974060059
4479,3163,0.3537023067474365
8593,7309,0.5257358551025391
1131,1131,0.05569791793823242
1715,1255,0.18425488471984863
2855,1971,0.24071121215820312
5786,4482,0.3989560604095459
3978,3978,0.1669771671295166
2106,1468,0.18675565719604492
6377,5053,0.403501033782959
1198,896,0.1253371238708496
2248,2248,0.0933079719543457
3941,2745,0.29307007789611816
2084,2084,0.09232211112976074
2741,1921,0.25705695152282715
4293,2993,0.3268868923187256
966,662,0.10380172729492188
3701,2473,0.3089320659637451
825,601,0.09544491767883301
971,711,0.10453605651855469
3224,2308,0.28317880630493164
7713,6433,0.463407039642334
891,591,0.09026098251342773
2014,1374,0.18772006034851074
5960,4656,0.41300106048583984
670,462,0.07172703742980957
1454,1018,0.13531804084777832
3328,2328,0.27035021781921387
4602,4602,0.19621920585632324
4818,3542,0.34415388107299805
1594,1594,0.07290887832641602
1483,1483,0.07137203216552734
8510,7098,0.5863442420959473
332,226,0.040083885192871094
1398,984,0.13925981521606445
2165,2165,0.09168791770935059
2332,1564,0.21040105819702148
717,471,0.0709068775177002
1685,1171,0.16282916069030762
4122,2898,0.3267090320587158
750,536,0.08373093605041504
2650,1804,0.2314920425415039
831,605,0.09104084968566895
740,740,0.0349578857421875
944,648,0.09580302238464355
2488,2488,0.1033778190612793
1160,874,0.1211247444152832
2592,1864,0.24498295783996582
1255,1255,0.05960392951965332
3747,2599,0.32404208183288574
