random_moves,optimized_hillclimber_moves,runtime
29000,27606,1.9223480224609375
34665,34665,1.7649478912353516
15276,15276,0.7522737979888916
30184,28824,1.878343105316162
25324,23954,1.596581220626831
46839,45417,2.806123971939087
92726,92726,4.758374214172363
19269,19269,0.9539341926574707
Not solved,Not solved,N/A
39961,38557,2.410166025161743
30624,29324,1.9430162906646729
33218,31922,2.0453529357910156
26770,25464,1.636687994003296
8920,7620,0.6795721054077148
82264,80982,4.5832741260528564
Not solved,Not solved,N/A
41765,40481,2.211455821990967
58438,57098,3.095489978790283
18671,17275,1.2244079113006592
Not solved,Not solved,N/A
88327,86945,4.434392690658569
34324,33010,1.8509180545806885
16489,15183,0.982774019241333
12478,11254,0.793226957321167
96512,95144,4.829885244369507
69183,67867,3.894834041595459
26369,25099,1.52223801612854
42560,41218,2.270218849182129
10812,9498,0.7272069454193115
10929,9725,0.6931419372558594
61019,59655,3.1312339305877686
82566,81216,4.051107168197632
32252,30968,1.5969300270080566
8590,7202,0.5902848243713379
29230,27942,1.4389050006866455
23528,23528,0.9394760131835938
33068,31752,1.5701429843902588
24283,22933,1.2269301414489746
71932,70612,3.2022171020507812
70658,69324,3.7671523094177246
58138,56804,3.3710579872131348
14437,13139,0.9733188152313232
27401,26123,1.7353510856628418
16555,15211,1.3379237651824951
56062,54672,3.4264771938323975
23137,21817,1.4595599174499512
38852,38852,1.917585849761963
13121,11747,0.9902429580688477
24720,23386,1.5922770500183105
Not solved,Not solved,N/A
48548,47146,2.9242007732391357
32655,31389,1.9598159790039062
50183,48845,2.8885560035705566
46337,45011,2.6486830711364746
21890,20534,1.4185230731964111
37287,35905,2.2233879566192627
12969,12969,0.6600210666656494
15010,13708,1.0748610496520996
32245,30847,3.5213510990142822
33187,31809,3.2252233028411865
25030,23670,1.868354082107544
33420,32048,2.433722734451294
20669,19297,1.7282500267028809
65412,64074,4.083801031112671
11030,9724,0.8824281692504883
37770,36454,2.76554012298584
33812,32470,2.271977186203003
45113,43751,3.0378828048706055
39754,38408,2.638435125350952
68354,66996,4.180211067199707
37806,36434,2.6255128383636475
41424,40092,2.9126996994018555
17222,15924,1.3951411247253418
53909,52509,3.586107015609741
23342,22050,1.6012661457061768
11835,10537,0.9058420658111572
36219,34923,2.3567311763763428
67981,66669,4.166475057601929
53297,51961,3.7676851749420166
26929,25581,1.822890043258667
50366,49040,3.437969207763672
43952,42588,3.5172359943389893
22203,20891,1.6380560398101807
54797,53483,3.563493251800537
18250,16902,1.3497939109802246
Not solved,Not solved,N/A
Not solved,Not solved,N/A
21687,20375,1.532912254333496
60937,59665,3.934770107269287
58242,56996,4.09958815574646
43520,43516,2.4646830558776855
25184,23802,1.889693260192871
58760,57426,3.9589672088623047
11603,10183,1.1184849739074707
39253,37907,3.0637359619140625
15856,14578,1.244109869003296
41740,40426,3.1591930389404297
24085,22865,1.7154560089111328
52008,52008,3.2000577449798584
42825,41459,2.9130821228027344
