random_moves,optimized_hillclimber_moves,runtime
76794,76486,3.4362690448760986
42994,42634,1.928812026977539
10664,10664,0.455643892288208
Not solved,Not solved,N/A
39427,39081,1.5687620639801025
20567,20233,0.8404066562652588
29114,29114,1.1479949951171875
38225,37889,1.600327968597412
68482,68158,2.9446957111358643
77848,77512,3.5907089710235596
52199,51899,2.384993076324463
Not solved,Not solved,N/A
19973,19633,0.9311561584472656
23700,23406,1.0990567207336426
Not solved,Not solved,N/A
3932,3566,0.209763765335083
Not solved,Not solved,N/A
85573,85267,4.144337892532349
90385,90059,4.2654500007629395
32872,32532,1.5629019737243652
9435,9081,0.4661979675292969
24627,24303,1.1619288921356201
82806,82444,3.885096788406372
45782,45432,2.22052001953125
56979,56647,2.6836981773376465
25179,24811,1.2092311382293701
23456,23150,1.1187140941619873
51122,50774,2.394596815109253
29275,28899,1.392897129058838
45605,45261,2.1995818614959717
30466,30126,1.4556069374084473
16360,16038,0.7989072799682617
7838,7500,0.3999207019805908
Not solved,Not solved,N/A
61823,61479,2.6209330558776855
13564,13260,0.5920419692993164
Not solved,Not solved,N/A
87011,86699,3.6428537368774414
29407,29073,1.2640080451965332
67351,66995,2.8624870777130127
17021,16675,0.7462897300720215
12740,12436,0.5494468212127686
21326,21000,0.9007978439331055
37227,36909,1.5732111930847168
8717,8393,0.385343074798584
25640,25282,1.0842900276184082
17494,17148,0.7644431591033936
83444,83144,3.5406980514526367
37373,37007,1.5747997760772705
18257,17903,0.7941598892211914
Not solved,Not solved,N/A
21391,21059,0.9141881465911865
15049,14699,0.6540498733520508
81550,81224,3.3976917266845703
6254,5940,0.28812313079833984
Not solved,Not solved,N/A
19419,19115,0.8808612823486328
63044,62658,2.7006871700286865
Not solved,Not solved,N/A
34909,34577,1.4596247673034668
93436,93080,4.07122802734375
37583,37257,1.809715986251831
36904,36548,1.8005788326263428
41651,41651,1.900627851486206
29189,28845,1.3940320014953613
70720,70390,3.363356113433838
27696,27378,1.3066380023956299
11088,10738,0.5430989265441895
33912,33564,1.591296911239624
Not solved,Not solved,N/A
24563,24245,1.1948952674865723
7478,7118,0.3900158405303955
15211,14883,0.7488481998443604
12928,12594,0.6463019847869873
2729,2387,0.15093207359313965
69428,69078,3.429337739944458
28351,28351,1.3298859596252441
57279,56923,2.6704061031341553
30403,30035,1.4652609825134277
Not solved,Not solved,N/A
33838,33494,1.848160982131958
36484,36172,1.6305279731750488
60613,60295,2.659658908843994
38921,38619,1.7217559814453125
24906,24626,1.1150190830230713
Not solved,Not solved,N/A
21665,21333,0.9301550388336182
20450,20100,0.9752881526947021
26065,25697,1.116441011428833
69710,69402,2.9527719020843506
56718,56718,2.363679885864258
51366,51054,2.2073380947113037
41203,40869,1.764112949371338
19571,19203,0.8636882305145264
59401,59059,2.9181759357452393
23312,22988,1.0554108619689941
21887,21553,0.9570317268371582
93712,93394,3.975468158721924
98469,98137,4.148373126983643
21647,21333,0.9319391250610352
