random_moves,optimized_hillclimber_moves,runtime
21992,20688,1.7649481296539307
68274,66824,4.588347911834717
11849,10535,1.156816005706787
57569,56191,4.307958126068115
92370,91072,6.019531965255737
7117,6189,0.7435719966888428
19932,18542,1.5700559616088867
63255,61951,4.173019886016846
24965,23557,1.8572988510131836
5149,4479,0.5492632389068604
35581,34213,2.4775478839874268
16988,15682,1.3505537509918213
25958,24582,1.874526023864746
20269,18943,1.5671799182891846
56855,55579,3.702360153198242
35863,34537,3.435037851333618
15013,13625,2.207198143005371
21634,20320,2.291917085647583
16091,14763,1.4921221733093262
21460,20152,1.8665351867675781
59142,57838,4.4498748779296875
36627,35331,2.7010278701782227
13045,11699,1.4904742240905762
Not solved,Not solved,N/A
18371,17025,1.758453130722046
24588,23232,2.004586935043335
37309,35907,2.8736751079559326
5480,4752,0.6398699283599854
24718,23342,1.9715991020202637
19890,18602,1.7874901294708252
6774,5906,0.9317817687988281
25162,23870,2.1612179279327393
43681,42331,3.6095240116119385
44429,43051,3.331655263900757
12418,11106,1.1673362255096436
6193,5451,0.7006866931915283
6506,5608,0.7756698131561279
25811,24403,2.105360984802246
44167,42867,3.4717512130737305
14075,12689,1.3786380290985107
11299,9931,1.3170208930969238
17340,15956,1.607111930847168
77261,75931,6.089712858200073
35019,33677,3.276298761367798
5622,4828,0.6743662357330322
35822,34508,2.7010691165924072
9549,9549,0.6229581832885742
34498,33206,2.6396846771240234
10411,9097,1.054401159286499
21431,20151,1.759230136871338
17654,17654,1.1559648513793945
29389,28039,2.5452001094818115
31758,30422,2.512253999710083
27178,25938,2.156106948852539
70365,68997,5.505795001983643
30487,29111,2.506089210510254
20175,18869,1.9420998096466064
26781,25487,2.0976319313049316
9706,8448,1.2067599296569824
14863,13483,1.6584079265594482
13320,12000,1.3935210704803467
7728,6708,0.981525182723999
75751,74351,6.103675127029419
20973,19687,1.878298282623291
20745,19359,2.0229969024658203
23171,21809,2.039992094039917
19761,19761,1.1852588653564453
23737,22449,1.883988857269287
11844,10466,1.2232933044433594
51440,50104,3.3594279289245605
2002,1706,0.2898550033569336
89220,87976,5.443494081497192
48678,47308,3.487301826477051
12170,10830,1.2756648063659668
41831,40427,2.9123740196228027
23231,21919,1.7521378993988037
21640,20184,1.634941816329956
10813,9497,1.067317008972168
2267,1945,0.28098607063293457
9694,8570,0.9782164096832275
26933,25577,1.985959768295288
24264,22932,1.7444748878479004
20237,18875,1.494278907775879
24312,22964,1.6810870170593262
22602,21276,1.6319067478179932
3685,3219,0.3995542526245117
79914,78566,4.894538640975952
25640,24334,1.696375846862793
34387,33021,2.511086940765381
10202,8940,1.0231330394744873
40420,39132,2.844022035598755
22773,21443,1.6295099258422852
23956,22614,1.8771591186523438
4146,3520,0.44143199920654297
58498,57174,3.8817222118377686
5154,4502,0.5839879512786865
25671,24385,1.9492368698120117
16861,15499,1.401916742324829
9062,7906,0.8990411758422852
18503, 15749, 1.959158018
