random_moves,optimized_hillclimber_moves,runtime
28582,27276,1.6630661487579346
22975,21543,1.6636669635772705
27344,25956,1.860098123550415
56404,55142,3.691762924194336
20349,18955,1.644953966140747
54414,53102,3.596471071243286
16638,15254,1.2533371448516846
72893,71565,4.414813041687012
2744,2260,0.30401182174682617
41841,40519,2.6962890625
56469,55159,3.3867080211639404
34678,33322,2.2721030712127686
Not solved,Not solved,N/A
60945,59619,3.696483850479126
67853,66605,4.136615037918091
Not solved,Not solved,N/A
16556,15180,1.4001739025115967
Not solved,Not solved,N/A
Not solved,Not solved,N/A
36994,35644,2.9762771129608154
62074,60722,4.32214093208313
7942,6660,0.7141668796539307
Not solved,Not solved,N/A
32188,30934,2.192596912384033
49210,47846,3.736847162246704
7242,6174,0.8877370357513428
49888,48558,3.616255044937134
6111,5189,0.6953017711639404
27283,26013,2.138025999069214
77289,76041,5.0379638671875
3394,2888,0.3941318988800049
18837,17479,1.4701497554779053
42566,41206,3.121164083480835
50566,49188,3.6300771236419678
90130,88830,6.564464807510376
23989,22713,2.230414628982544
3436,2858,0.4499680995941162
69110,67764,4.632998943328857
19031,17713,1.4345018863677979
17244,15878,1.4394469261169434
18079,16717,1.468554973602295
Not solved,Not solved,N/A
19837,18487,1.5703763961791992
80001,78659,5.731411933898926
17223,15905,1.5309298038482666
Not solved,Not solved,N/A
85130,83862,6.1956470012664795
16438,15100,1.563467025756836
36092,34726,2.8385138511657715
32937,32937,2.240963935852051
4324,3592,0.5822639465332031
4476,3766,0.5356929302215576
28746,27374,2.183298110961914
Not solved,Not solved,N/A
19482,18206,1.3512489795684814
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
12465,11131,1.0674359798431396
25783,24463,1.8841652870178223
38439,37137,2.401373863220215
2888,2886,0.173720121383667
14807,13481,1.1875190734863281
81018,79622,4.846451044082642
27679,26327,1.9054877758026123
6274,5348,0.6371667385101318
20954,19594,1.4263179302215576
88146,86832,4.916912794113159
55564,54266,3.3463211059570312
49820,48518,2.864967107772827
62871,61499,3.90421986579895
20200,18926,1.480159044265747
59311,57963,3.5924768447875977
97415,96095,5.982010841369629
35653,34347,2.3321990966796875
67991,66661,3.946992874145508
38720,37362,2.5472772121429443
38754,37458,2.408294200897217
48071,46747,2.917506694793701
45150,43800,2.8258700370788574
31898,30572,1.9663758277893066
21493,20249,1.5003631114959717
47079,45855,2.6807072162628174
39679,38405,2.360821008682251
Not solved,Not solved,N/A
18021,16687,1.2825489044189453
27627,26299,1.972505807876587
51193,49837,3.0681750774383545
11436,10004,1.1445281505584717
Not solved,Not solved,N/A
25833,24453,1.6308050155639648
59166,57832,3.484847068786621
22798,21490,1.4841279983520508
53282,52006,2.991683006286621
38150,36810,2.1736090183258057
12897,11631,0.8949246406555176
9449,8151,0.7257080078125
31325,29945,1.9009439945220947
7234,6034,0.6735429763793945
55559,54217,3.0377511978149414
