random_moves,optimized_hillclimber_moves,runtime
4089,3767,0.22295904159545898
25561,25269,1.2928071022033691
38495,38173,1.9592227935791016
5599,5273,0.29990100860595703
17381,17381,0.8518791198730469
10307,9945,0.5341091156005859
6000,5654,0.3256242275238037
10956,10624,0.5630731582641602
36396,36086,1.825227975845337
Not solved,Not solved,N/A
27175,26827,1.3785169124603271
96907,96907,4.671431064605713
5989,5663,0.32515931129455566
30432,30098,1.522568941116333
17912,17566,0.9480981826782227
9710,9710,0.4769458770751953
39750,39426,2.0427379608154297
20106,19792,1.0508341789245605
4707,4361,0.3325381278991699
33275,32947,1.667099952697754
53457,53131,2.673987865447998
10570,10222,0.5676419734954834
35126,34808,1.7988998889923096
Not solved,Not solved,N/A
Not solved,Not solved,N/A
31646,31304,1.626053810119629
17043,16707,0.8950259685516357
35696,35358,1.8508422374725342
29524,29202,1.522104024887085
22128,21794,1.1426658630371094
14233,13883,0.7451908588409424
20021,19719,1.0467736721038818
17288,17014,0.8989052772521973
18726,18726,0.9521987438201904
22762,22426,1.2098188400268555
19349,19031,1.0556268692016602
7029,6707,0.38042593002319336
19743,19439,0.9423501491546631
23201,22839,1.0803709030151367
62471,62155,2.8412699699401855
32963,32963,1.4890639781951904
26625,26301,1.2235181331634521
25832,25464,1.1957058906555176
14665,14313,0.682960033416748
22150,21860,1.0154438018798828
9141,8819,0.4276237487792969
2223,1917,0.11652779579162598
6636,6294,0.3234679698944092
59203,58851,2.7062299251556396
53219,52857,2.427403211593628
10766,10450,0.50140380859375
42566,42260,1.9364376068115234
38748,38398,1.7641608715057373
47184,46878,2.1366591453552246
11121,11121,0.501859188079834
2609,2309,0.14363408088684082
29132,28770,1.3434929847717285
26932,26586,1.2588210105895996
30941,30941,1.3777940273284912
15051,15051,0.6697752475738525
66339,66017,2.9845027923583984
11855,11521,0.5636849403381348
23810,23464,1.0827927589416504
26407,26067,1.212557077407837
2247,1965,0.12310504913330078
48668,48310,2.1942620277404785
40838,40510,1.854626178741455
5431,5091,0.27236294746398926
15244,14924,0.7016482353210449
38567,38231,1.7580788135528564
39499,39149,1.8574042320251465
23389,23075,1.1831328868865967
24841,24515,1.1279799938201904
28741,28435,1.2945761680603027
33266,32924,1.5709152221679688
18097,17765,0.8348331451416016
38629,38261,1.737128734588623
11634,11634,0.5197958946228027
16802,16476,0.7605018615722656
54919,54577,2.514295816421509
64917,64593,3.33115816116333
27354,27052,1.392664909362793
22046,21684,1.1451640129089355
45641,45307,2.28067684173584
76263,75939,3.92704701423645
17660,17330,0.9199390411376953
62876,62564,3.1445159912109375
Not solved,Not solved,N/A
Not solved,Not solved,N/A
37450,37450,1.8840131759643555
10448,10448,0.5257568359375
25572,25572,1.2894508838653564
11214,10870,0.5866539478302002
11218,10860,0.5831968784332275
42043,42043,2.094332218170166
6710,6366,0.3726470470428467
9516,9166,0.5102310180664062
19901,19567,1.028662919998169
11347,10997,0.608893871307373
38182,37838,2.2166690826416016
