random_moves,optimized_hillclimber_moves,runtime
Not solved,Not solved,N/A
81608,80244,8.10199499130249
37374,37374,3.2938668727874756
Not solved,Not solved,N/A
57985,56611,6.014825105667114
Not solved,Not solved,N/A
33334,31990,3.6639840602874756
78173,76787,7.832184791564941
38863,37501,4.142378091812134
80725,79421,8.110082864761353
12076,11054,1.7428431510925293
82657,81355,8.319206953048706
26567,25193,3.1208691596984863
Not solved,Not solved,N/A
30563,29217,3.470656156539917
Not solved,Not solved,N/A
67310,65914,6.9903271198272705
61428,60122,6.3661158084869385
66394,64982,6.959022045135498
42856,41562,4.68416690826416
91844,90506,9.248396873474121
12608,11448,1.770129919052124
53618,53616,4.897447109222412
33674,32278,3.9115190505981445
32364,31048,3.6739988327026367
21362,20028,3.064805030822754
50663,50663,5.936627149581909
70196,68840,8.368568181991577
Not solved,Not solved,N/A
52373,51031,5.727966070175171
49572,48200,5.423076868057251
54444,53102,5.875298976898193
89259,87891,9.047359943389893
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
99943,98551,10.122087001800537
Not solved,Not solved,N/A
56144,54786,5.893013000488281
15483,14131,2.063293933868408
77210,75912,7.7603631019592285
76649,75285,7.95065975189209
75317,73931,8.090963125228882
46513,45235,5.38784122467041
10284,9290,1.5943078994750977
59788,58492,6.320803880691528
Not solved,Not solved,N/A
83355,82041,8.39135217666626
27886,26578,2.919343948364258
29350,27988,3.5264861583709717
96458,95130,8.664005041122437
4865,4415,0.707266092300415
74882,73558,6.791326999664307
33698,32340,3.4116010665893555
25030,25030,1.982551097869873
Not solved,Not solved,N/A
32462,31142,3.2486181259155273
73671,72277,6.6339592933654785
58714,57324,5.801442861557007
31795,30447,3.0658559799194336
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
44028,42704,3.8308141231536865
26240,24944,2.477916717529297
59307,59307,4.435701131820679
60100,58742,5.13019585609436
Not solved,Not solved,N/A
16284,14946,1.6913650035858154
Not solved,Not solved,N/A
67339,65959,5.8353400230407715
72930,71646,6.522578001022339
94313,92899,8.418673038482666
45610,45610,3.5949649810791016
48000,46692,4.221689224243164
57148,55820,5.341915845870972
Not solved,Not solved,N/A
Not solved,Not solved,N/A
45823,44533,4.610744953155518
15466,14054,1.9738340377807617
Not solved,Not solved,N/A
11906,10870,1.6739580631256104
34529,33181,3.9683032035827637
48577,47199,5.11854887008667
Not solved,Not solved,N/A
Not solved,Not solved,N/A
Not solved,Not solved,N/A
4975,4457,0.787757158279419
60140,58830,6.127511739730835
56907,55535,5.889219045639038
8879,7997,1.285249948501587
63306,61946,6.750179052352905
Not solved,Not solved,N/A
Not solved,Not solved,N/A
52919,51493,6.0118279457092285
72410,71078,7.642578125
87550,86242,9.603946924209595
