random_moves,optimized_hillclimber_moves,runtime
18490,18184,0.6112282276153564
64885,64573,2.1317009925842285
34730,34418,1.160092830657959
27574,27258,0.9130239486694336
40042,39728,1.310817003250122
75837,75515,2.49124813079834
23755,23423,0.7956211566925049
25865,25561,0.8514587879180908
24691,24311,0.8255276679992676
Not solved,Not solved,N/A
19578,19218,0.6532993316650391
27114,26768,0.8885300159454346
19874,19572,0.6527988910675049
19531,19531,0.673659086227417
58923,58597,1.9277312755584717
15107,15107,0.4955780506134033
32740,32430,1.1044251918792725
89755,89411,2.984917163848877
53517,53201,1.965278148651123
15643,15303,0.5930988788604736
18258,17896,0.6870608329772949
21530,21222,0.786189079284668
45659,45351,1.6592020988464355
40090,39780,1.459313154220581
45736,45398,1.6656782627105713
48408,48060,1.794386863708496
20784,20444,0.7771761417388916
13517,13209,0.5029871463775635
36739,36739,1.3138198852539062
23927,23581,0.9116737842559814
41721,41353,1.553530216217041
31082,30714,1.1724889278411865
24933,24597,0.9349446296691895
38535,38187,1.4627959728240967
15138,14828,0.6356768608093262
29782,29468,1.1961588859558105
33531,33203,1.2340118885040283
50387,50045,1.8996970653533936
13225,12925,0.4996659755706787
23386,23046,0.8845241069793701
11599,11271,0.446429967880249
17066,16738,0.6460919380187988
12672,12332,0.48983001708984375
72686,72376,2.7056148052215576
57454,57122,2.1307740211486816
20739,20441,0.7901551723480225
40603,40215,1.532702922821045
12515,12199,0.4847249984741211
13829,13515,0.5289669036865234
27210,26868,1.122624158859253
85305,84965,3.191316843032837
44262,43948,1.6584358215332031
16331,15965,0.6771469116210938
37733,37381,1.5977871417999268
66283,65957,2.8056480884552
20216,19882,0.86515212059021
62587,62237,2.430773973464966
43548,43214,1.7036569118499756
48445,48095,1.8358471393585205
78702,78702,2.9933929443359375
66525,66191,2.640026807785034
61873,61529,2.679190158843994
46286,45942,2.0701711177825928
32278,31964,1.393021821975708
11854,11504,0.5411562919616699
46865,46523,2.0395870208740234
59823,59487,2.565412998199463
14369,14025,0.6473307609558105
28930,28586,1.296553134918213
51138,50774,2.228752851486206
34712,34396,1.5057783126831055
11267,10963,0.500248908996582
34736,34428,1.5202171802520752
9240,8904,0.4174797534942627
9522,9202,0.4692690372467041
40863,40557,1.7772748470306396
17757,17755,0.8011269569396973
16657,16657,0.7322938442230225
53806,53438,2.4508440494537354
27699,27699,1.1866772174835205
16350,16008,0.730118989944458
35572,35258,1.5814037322998047
32337,31959,1.437704086303711
11725,11389,0.5589959621429443
26801,26491,1.1730737686157227
46537,46209,2.057697057723999
9553,9225,0.4473540782928467
53386,53064,2.4056291580200195
59595,59225,2.6489200592041016
21521,21183,0.9562430381774902
49823,49475,2.2260780334472656
7983,7657,0.36752772331237793
20022,19692,0.897108793258667
39671,39327,1.7647078037261963
42476,42160,1.8947367668151855
33980,33666,1.5135879516601562
22552,22194,1.095567226409912
25160,24814,1.1564831733703613
11526,11526,0.4979367256164551
18422,18096,0.8663458824157715
