moves
2353
3534
4777
2272
507
2987
763
1344
4673
2233
7097
704
6200
2518
5406
3842
1184
3279
493
7748
1884
1721
1690
3665
1003
922
288
419
2920
944
1062
1069
1937
1943
639
2998
394
3152
649
6866
414
1085
333
703
1727
4200
2183
738
1228
873
7097
3938
972
1735
475
4399
1282
1521
556
1355
839
1213
1110
510
327
2396
939
5942
646
3005
1202
1012
1242
2544
2655
1303
3034
902
817
1532
440
3662
3630
1168
4428
2352
2813
7429
1663
2324
3998
2459
3328
817
1601
470
186
998
4436
2351
