random_moves,optimized_hillclimber_moves,runtime
7296,6960,0.21621394157409668
1486,1194,0.05005168914794922
1224,906,0.04253411293029785
3226,2896,0.09852385520935059
5595,5291,0.16176509857177734
2294,1956,0.07397294044494629
4734,4368,0.1419379711151123
1586,1248,0.05366969108581543
1127,777,0.04112076759338379
1477,1101,0.05637502670288086
1581,1241,0.05337977409362793
1191,875,0.04063916206359863
1486,1112,0.054499149322509766
462,462,0.01507115364074707
700,472,0.027225017547607422
2424,2108,0.07584404945373535
700,512,0.02939581871032715
7583,7247,0.21924304962158203
3808,3482,0.11464691162109375
853,591,0.030505895614624023
1517,1515,0.04297208786010742
4214,3866,0.12929105758666992
1815,1447,0.061727046966552734
2255,1921,0.07023215293884277
4960,4626,0.14716291427612305
1244,904,0.04475283622741699
4711,4361,0.1402120590209961
2800,2452,0.08585691452026367
1369,1027,0.04684591293334961
355,353,0.011815071105957031
503,349,0.020912885665893555
676,488,0.027264118194580078
1974,1646,0.06403303146362305
1299,949,0.04527616500854492
1550,1182,0.0601499080657959
1637,1261,0.05580496788024902
720,522,0.02838420867919922
1274,934,0.047540903091430664
1750,1406,0.05890822410583496
1089,747,0.039603233337402344
519,381,0.02232813835144043
1016,730,0.040454864501953125
1207,1207,0.034835100173950195
3122,2784,0.09503579139709473
2196,2196,0.06117868423461914
3978,3610,0.12067794799804688
2010,1672,0.06561994552612305
347,241,0.015302896499633789
2029,2029,0.05725598335266113
1219,869,0.04283714294433594
4742,4440,0.14122390747070312
3120,2784,0.09653878211975098
967,717,0.03636503219604492
1340,1340,0.03806591033935547
2200,2200,0.0618131160736084
518,518,0.01627492904663086
965,689,0.03695225715637207
968,712,0.03707718849182129
1760,1450,0.0571436882019043
3093,2783,0.0949559211730957
3826,3506,0.11481380462646484
4520,4176,0.13559913635253906
5487,5487,0.15021419525146484
2607,2309,0.08157896995544434
532,378,0.021906137466430664
769,537,0.028980016708374023
2590,2272,0.07915210723876953
2309,1945,0.07262396812438965
1516,1162,0.0525059700012207
3014,3014,0.08236908912658691
4219,4219,0.11607098579406738
1194,870,0.04144096374511719
867,625,0.03311514854431152
204,132,0.009534358978271484
2549,2549,0.06984400749206543
6023,5731,0.17451906204223633
1619,1269,0.056767940521240234
1265,965,0.04313397407531738
4441,4101,0.13184785842895508
728,726,0.021607160568237305
1937,1627,0.061934709548950195
7190,6872,0.20730376243591309
832,584,0.03146505355834961
3731,3379,0.11238408088684082
1089,1089,0.031749725341796875
1363,1023,0.04612874984741211
1156,850,0.043044090270996094
3057,2731,0.09508013725280762
1029,695,0.03663516044616699
655,655,0.019913911819458008
3866,3864,0.10566329956054688
799,533,0.030369997024536133
3392,2990,0.11178278923034668
6132,5802,0.17755413055419922
412,280,0.017901897430419922
333,239,0.014826297760009766
6791,6791,0.18529367446899414
1079,769,0.03931593894958496
1494,1122,0.054685115814208984
2194,2194,0.059886932373046875
