random_moves,optimized_hillclimber_moves,runtime
85617,84267,2.9205989837646484
9448,8190,0.4287538528442383
22596,21348,0.8237271308898926
42167,40817,1.4778287410736084
4042,2774,0.255047082901001
22725,21397,0.8479580879211426
35496,35496,1.0147571563720703
78388,77054,2.649946928024292
10315,8941,0.4448740482330322
35916,34570,1.2815332412719727
98128,96810,3.2499642372131348
53152,51842,2.1737310886383057
66797,65481,2.2330400943756104
17332,16018,0.6634070873260498
24457,23063,0.9204747676849365
69256,67938,2.2917609214782715
81029,79657,2.740752696990967
7546,6256,0.35651493072509766
30503,29117,1.1040241718292236
65938,64636,2.2309718132019043
15066,13730,0.6427490711212158
7724,6354,0.37673091888427734
40303,38887,1.434316873550415
27845,26449,1.0280578136444092
60481,59099,2.0076379776000977
29234,29234,0.8960268497467041
19828,18476,0.7457060813903809
9260,7970,0.4040870666503906
28822,27484,1.0199980735778809
55565,54219,1.856415033340454
26426,25078,0.9529190063476562
58306,57014,1.9192681312561035
64905,63605,2.1700191497802734
48923,47561,1.7032430171966553
17502,16144,0.6672630310058594
16056,14708,0.6320540904998779
24309,22981,0.8768250942230225
10880,9574,0.4586329460144043
16984,15654,0.64935302734375
5998,4660,0.30359315872192383
13140,13138,0.3823089599609375
47440,46120,1.5986847877502441
39632,38178,1.3842229843139648
61593,61593,1.769981861114502
46227,44915,1.5554640293121338
8328,8328,0.24669194221496582
9539,8181,0.41800904273986816
29500,28152,1.032829999923706
71420,71420,2.0441970825195312
21015,19661,0.7944231033325195
8512,7138,0.41600704193115234
3784,2572,0.23144984245300293
15211,15211,0.441478967666626
11611,11611,0.336500883102417
57484,57484,1.6454577445983887
14348,14348,0.4178197383880615
66559,65205,2.2234628200531006
4528,3202,0.2693459987640381
43937,42581,1.4950318336486816
2626,1734,0.19754886627197266
12769,11451,0.5314188003540039
40296,38940,1.3812389373779297
6268,4906,0.3386991024017334
10154,8816,0.4545300006866455
38215,38215,1.0993280410766602
46546,45208,1.579700231552124
52301,50957,1.7414779663085938
30314,29060,1.045708179473877
64087,62789,2.1010091304779053
8516,7228,0.3952450752258301
85364,84020,2.7549221515655518
31263,31261,0.9003729820251465
19045,17681,0.7342431545257568
5465,4147,0.296339750289917
Not solved,Not solved,N/A
31885,30541,1.1241199970245361
19328,19326,0.5695018768310547
25271,23905,0.9346780776977539
27084,25744,0.9741618633270264
54415,52975,1.8460111618041992
12781,11533,0.5086948871612549
79970,78646,2.571687936782837
51294,49948,1.748150110244751
43222,41898,1.49222993850708
11878,10520,0.4853041172027588
8256,6874,0.39272594451904297
17180,15822,0.6757118701934814
33945,33945,0.97947096824646
65353,64025,2.1669137477874756
14686,13256,0.6144630908966064
5158,3822,0.2936840057373047
18274,16932,0.7137398719787598
16774,15424,0.637876033782959
29089,27707,1.0450458526611328
19603,18205,0.7481539249420166
57833,56489,1.9202239513397217
20351,19035,0.7438561916351318
13643,13643,0.3971269130706787
13909,12579,0.5599219799041748
95301,93955,3.1048848628997803
